CODIGO_INEP,NOME_ESCOLA,1º ANO,2º ANO,3º ANO,4º ANO,5º ANO,6º ANO,7º ANO,8º ANO,9º ANO,1ª SÉRIE,2ª SÉRIE,3ª SÉRIE,ENSINO FUNDAMENTAL (ANOS INICIAIS),ENSINO FUNDAMENTAL (ANOS FINAIS),ENSINO MÉDIO,TOTAL
25047116,ECI MARIO OLIVEIRA CHAVES,,,,,,,,,,34,35,44,,,113,113
25047450,ECI BARTOLOMEU MARACAJA,,,,,,,,13,39,29,27,25,,52,81,133
25047469,ECI JAIRO AIRES CALUETE,,,,,,,,28,19,19,22,23,,47,64,111
25048350,ECI MALAQUIAS BATISTA FEITOSA,,,,,,,,,,36,33,27,,,96,96
25048368,ESCOLA CIDADÃ INTEGRAL ESTADUAL DE ENSINO MÉDIO MARIA CELESTE DO NASCIMENTO,,,,,,,,,,17,19,21,,,57,57
25049372,ECI MANOEL HONORATO SOBRINHO,,,,,,,,,,17,21,14,,,52,52
25049640,ECI AMPARO,,,,,,,,,,34,39,35,,,108,108
25050427,EECI JOAO ROGERIO DIAS TOLEDO,,,,,,,,,,52,42,44,,,138,138
25051296,EECI MELQUÍADES TEJO,,,,,,,,,,102,105,82,,,289,289
25051660,ECI ANA FERREIRA DA COSTA,,,,,,,,,,29,21,15,,,65,65
25052497,EECI ALMIRANTE ANTÔNIO HERÁCLITO DO RÊGO,,,,,,,,,,65,47,44,,,156,156
25052802,EECI FELIX ARAUJO,,,,,,,,,,55,63,63,,,181,181
25053493,EECIT FRANCISCO DEODATO DO NASCIMENTO,,,,,,,,,,43,15,7,,,65,65
25054490,E.C.I CEL SERVELIANO DE FARIAS CASTRO,,,,,,,,,,45,50,32,,,127,127
25055836,ECI ORLANDO VENANCIO DOS SANTOS,,,,,,,,,,50,90,60,,,200,200
25056581,ECI EEFM JOSE VITORINO DE MEDEIROS,,,,,,,,,,47,46,24,,,117,117
25060058,ECI EEM GOVERNADOR CLOVIS BEZERRA CAVALCANTI,,,,,,,,,,71,79,66,,,216,216
25060392,EEEF PE GERALDO DA S PINTO,,,,,,68,111,69,51,16,,,,299,16,315
25060996,ECI DR TERCILIO TEIXEIRA DA CRUZ,,,,,,,,,,41,47,47,,,135,135
25062069,EECI MARIA JOSÉ DE SOUZA,,,,,,,,,,81,73,57,,,211,211
25062220,EECI MONSENHOR JOSÉ BORGES,,,,,,,,,,78,90,45,,,213,213
25062638,EEEFM PADRE HILDON BANDEIRA,,,,,,,,,42,174,157,80,,42,411,453
25065726,ECI EEFM ANTONIETA CORREIA DE MENEZES,,,,,,,,,,44,46,39,,,129,129
25066013,ECI EEFM ANTÔNIO BENTO,,,,,,,,,,47,34,40,,,121,121
25067737,ECI PREF JOSE ANTONIO NEVES,,,,,,,,,,26,23,23,,,72,72
25067869,ECI EEFM ODILON NELSON DANTAS,,,,,,,,,,54,58,48,,,160,160
25068075,ECI SAGRADO CORACAO DE JESUS,,,,,,,,,,42,35,21,,,98,98
25068636,ECI JOSÉ SOARES DE CARVALHO,,,,,,,,19,46,127,131,93,,65,351,416
25069357,EEEFM IVAN BICHARA SOBREIRA,,,,,,,,,,21,16,19,,,56,56
25070088,ECI SILVIO PORTO,,,,,,,,,,53,53,31,,,137,137
25071939,EECI AUDIOCOMUNICAÇÃO DE CAMPINA GRANDE DEMÓSTENES CUNHA LIMA,1,6,6,3,2,5,2,4,4,8,8,7,18,15,23,56
25072005,EEEFM ADEMAR VELOSO SILVEIRA,,,,,,22,24,31,26,75,75,40,,103,190,293
25072099,EECI ASSIS CHATEAUBRIAND,,,,,,55,38,56,49,53,43,29,,198,125,323
25072129,EEEFM SAO SEBASTIAO,,,,,,59,48,61,60,,,,,228,,228
25072277,EECI MONTE CARMELO,,,,,,29,51,40,45,58,65,52,,165,175,340
25072285,EEEFM MURILO BRAGA,,,,,,32,50,34,29,52,32,37,,145,121,266
25072307,EECI SOLON DE LUCENA,,,,,,,,,,106,108,59,,,273,273
25072412,EECI VIRGINIUS DA GAMA E MELO,,,,,,,,16,26,34,32,21,,42,87,129
25072439,EECI HORTENCIO SOUSA RIBEIRO (PREMEN),,,,,,,,,,47,45,35,,,127,127
25076582,EECI IRMÃ JOAQUINA SAMPAIO,,,,,,23,20,18,28,14,14,11,,89,39,128
25076590,EECI JOSÉ MIGUEL LEÃO,,,,,,22,,32,16,74,65,46,,70,185,255
25077147,EECI JOANA EMÍLIA DA SILVA,,,,,,,,,,131,114,85,,,330,330
25078577,EEEFM CONEGO ANTONIO GALDINO,,,,,,,,,,104,134,107,,,345,345
25080261,ECI EEM MANOEL AVELINO PAIVA,,,,,,,,,,57,82,58,,,197,197
25080407,ECI JOÃO RIBEIRO,,,,,,,,,,110,73,63,,,246,246
25081349,EEEFM ADAUTO CABRAL DE VASCONCELOS,,,,,,,,,,72,69,47,,,188,188
25084445,EECI JOAO DA SILVA MONTEIRO,,,,,,,,,,119,104,98,,,321,321
25084992,ECIT ANTONIO FRANCISCO GOMES,,,,,,,,,,82,43,23,,,148,148
25086324,ECIEEFM MARGARIDA DIAS,,,,,,,,,,67,54,47,,,168,168
25086901,ESCOLA CIDADÃ INTEGRAL E.E.F.M SENADOR RUI CARNEIRO,,,,,,,,,,101,102,80,,,283,283
25087355,ECI EEM PROFESSOR RENATO FONSECA FILHO,,,,,,,,,,57,74,69,,,200,200
25087657,EEEF ANTONIO PINTO BARBALHO,,,,,,23,38,33,31,,,,,125,,125
25087738,ESCOLA CIDADÃ INTEGRAL DE ENSINO FUNDAMENTAL E MÉDIO PEDRO POTI,,,,,,,,,,107,53,45,,,205,205
25088068,ECI E.I.E.I.E.F.M ÍNDIO ANTONIO SINÉSIO DA SILVA,28,17,25,30,22,31,21,23,12,17,16,12,122,87,45,254
25088963,EEEIEF AUGUSTO DOS ANJOS,,,,,,,,,,,108,69,,,177,177
25089242,ECIEEFM JOCELYN VELLOSO BORGES,,,,,,,,,,43,38,40,,,121,121
25089552,EEEFM MARIA LINS,,,,,,,,,,64,47,57,,,168,168
25089811,ECI ANNE SONALY DE PONTES( FAZENDA BURACAO),,,,,,41,47,48,48,33,16,22,,184,71,255
25090135,ECI CASSIANO RIBEIRO COUTINHO,,,,,,90,26,5,9,11,13,12,,130,36,166
25090909,ECI IRINEU PINTO,,,,,,,,22,18,48,27,25,,40,100,140
25090984,ECI EEFM JOAO CAETANO,,,,,,,,,,80,102,73,,,255,255
25091565,EEEF AUGUSTO SEVERO,30,20,14,18,14,,,,,,,,96,,,96
25091638,ECI IMACULADA CONCEIÇÃO,,,,,,40,37,41,44,68,33,19,,162,120,282
25093835,ECI LUÍS RAMALHO,,,,,,,,,,73,78,36,,,187,187
25093851,ECI LILIOSA PAIVA LEITE,,,,,,,,,,126,70,52,,,248,248
25094084,CRIA CAPITULINA SATYRO,27,30,30,30,25,32,,,,,,,142,32,,174
25094106,ECI LUZIA SIMOES BARTOLLINI,,,,,,31,31,25,23,29,24,12,,110,65,175
25094408,EEEFM DES BOTO DE MENEZES,,,,,,36,32,38,28,28,18,19,,134,65,199
25094416,EEEFM DES BRAZ BARACUHY,22,23,29,24,22,,,,,,,,120,,,120
25094661,ECI EEFM PEDRO LINS VIEIRA DE MELO,,,,,,,,,,30,22,37,,,89,89
25094688,ECIT PADRE HILDON BANDEIRA,,,,,,70,28,14,21,20,17,10,,133,47,180
25094696,ECI PADRE IBIAPINA,,,,,,,,,,61,35,20,,,116,116
25094726,ECI EEFM PROFESSOR CELESTIN MALZAC,,,,,,,,,,196,188,128,,,512,512
25099256,ECI EEFM MARIA DE LOURDES ARAUJO,,,,,,,,,,49,56,36,,,141,141
25103563,EEEFM PROFESSOR JOSE GOMES ALVES,,,,,,,,,,147,105,95,,,347,347
25104330,ECIS ALMIRANTE SALDANHA,,,,,,,,,,16,7,1,,,24,24
25114034,EEEF DOM HELDER CAMARA,,,,,,64,64,62,69,,,,,259,,259
