CODIGO_INEP,NOME_ESCOLA,GRE,MUNICIPIO,MODELO,1º ANO,2º ANO,3º ANO,4º ANO,5º ANO,6º ANO,7º ANO,8º ANO,9º ANO,1ª SÉRIE,2ª SÉRIE,3ª SÉRIE,ANOS INICIAIS,ANOS FINAIS,ENSINO MÉDIO,TOTAL
25014412,ECI EEM NESTORINA ABRANTES,10ª GRE,LASTRO,ECI,,,,,,,,,,53,66,47,,,X,166
25014692,Ecit Doutor Antonio Fernandes Medeiros,06ª GRE,Malta,ECIT,,,,,,,,,,55,52,41,,,X,148
25014951,ECIEEM FRANCISCO AUGUSTO CAMPOS,10ª GRE,NAZAREZINHO,ECI,,,,,,,,,,83,77,67,,,X,227
25015320,ECIT EST FRANCISCO DE SÁ CAVALCANTE,13ª GRE,Paulista,ECIT,,,,,,,,,,21,50,25,,,X,96
25015869,ECITEEFM Monsenhor Vicente Freitas,13ª GRE,Pombal,ECIT,,,,,,,,,,74,45,38,,,X,157
25015885,EEEFM JOÃO DA MATA,13ª GRE,POMBAL,ECI,,,,,,,,,,25,26,20,,,X,71
25016032,EEEF AMELIA MARIA DA LUZ,13ª GRE,POMBAL,ECI Quilombola,,,,,,,,,22,17,5,11,,X,X,55
25016059,EEEFM MARIA SOLEDADE ASSIS FREITAS,13ª GRE,CAJAZEIRINHAS,ECI,,,,,,,,,,38,25,23,,,X,86
25016105,ECI DEPUTADO LEVI OLÍMPIO FERREIRA,13ª GRE,SÃO BENTINHO,ECI,,,,,,,,,,24,40,38,,,X,102
25016164,Ecit Cicero Severo Lopes,13ª GRE,São Domingos,ECIT,,,,,,,,,,34,19,21,,,X,74
25017080,ECIT EEFM Valdemiro Wanderley de Oliveira,10ª GRE,Santa Cruz,ECIT,,,,,,,,,,51,63,50,,,X,164
25017438,ECI EEEFM ANTONIO GREGORIO DE LACERDA,10ª GRE,SÃO JOSÉ DA LAGOA TAPADA,ECI,,,,,,,,,,89,75,68,,,X,232
25018094,ECI EEFM Dr Jose Gadelha,10ª GRE,Aparecida,ECIT,,,,,,,,,,68,76,63,,,X,207
25018124,EEEF BATISTA LEITE,10ª GRE,SOUSA,ECI,,,,,,23,51,46,78,44,46,,,X,X,288
25018280,ECIT Mestre Julio Sarmento,10ª GRE,Sousa,ECIT,,,,,,,,,,116,122,139,,,X,377
25019228,EEEFM ANTONIO TEODORO NETO,10ª GRE,SOUSA,ECI,,,,,,,,,15,34,53,41,,X,X,143
25019538,ECIT Estadual Doutor Silva Mariz,10ª GRE,Marizópolis,ECIT,,,,,,,,,,63,55,58,,,X,176
25019597,ECIEEM DORGIVAL SILVEIRA,10ª GRE,SÃO FRANCISCO,ECI,,,,,,,,,,62,36,52,,,X,150
25019740,ECI EST EM MARIA MOREIRA PINTO,10ª GRE,VIEIRÓPOLIS,ECI,,,,,,,,,,54,62,60,,,X,176
25020102,EEEFM FRANCISCO ROMANO DA SILVEIRA,06ª GRE,MÃE D'ÁGUA,ECI,,,,,,,,,,49,32,32,,,X,113
25020854,Eci Doutor Dionísio da Costa,06ª GRE,Patos,ECIT,,,,,,,,,,87,93,57,,,X,237
25020927,ECI AUZENIR LACERDA,06ª GRE,PATOS,ECI,,,,,,,,,,119,121,68,,,X,308
25020935,ECI ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO MONSENHOR MANOEL VIEIRA,06ª GRE,PATOS,ECI,,,,,,,,,,268,223,167,,,X,658
25022296,EEEFM PROFESSOR JOAO NOBERTO,06ª GRE,SANTA TERESINHA,ECI,,,,,,,,,,49,52,42,,,X,143
25022652,EEEFM Jose Americo de Almeida,06ª GRE,São José De Espinharas,ECIT,,,,,,,,,,27,36,36,,,X,99
25023187,ECI EEM MARIA DE LOURDES MEIRA,06ª GRE,SÃO JOSÉ DO BONFIM,ECI,,,,,,,,,,33,37,23,,,X,93
25023489,ECI EEM AGENOR MENDES PEDROSA,07ª GRE,AGUIAR,ECI,,,,,,,,,23,66,50,53,,X,X,192
25023896,Eci Joselita Brasileiro,07ª GRE,Igaracy,ECIT,,,,,,,21,20,26,72,51,49,,X,X,239
25024175,Ecit Inacio da Catingueira,06ª GRE,Catingueira,ECIT,,,,,,,,,,45,41,42,,,X,128
25024558,Ecit Nobel Vita,07ª GRE,Coremas,ECIT,,,,,,,,,,124,145,110,,,X,379
25025368,ECIT de Ensino Fundamental e Médio Profª Margarida Remigio Loureiro,06ª GRE,Emas,ECIT,,,,,,,,,,45,38,45,,,X,128
25025635,ECIT Joao Leite Neto,07ª GRE,Nova Olinda,ECIT,,,,,,,,,31,76,68,42,,X,X,217
25025830,Eci EEM Antônio Avelino de Almeida,07ª GRE,Olho D'Água,ECIT,,,,,,,,,,81,73,52,,,X,206
25027026,ESCOLA CIDADÃ INTEGRAL E TECNICA ESTADUAL SANTO ANTONIO,07ª GRE,Piancó,ECIT,,,,,,,,,,122,116,87,,,X,325
25027190,ECI EEM DOUTOR FELIZARDO LEITE,07ª GRE,SANTANA DOS GARROTES,ECI,,,,,,,,,,55,54,43,,,X,152
25027573,ECI EEM JOÃO CAVALCANTE SULA,07ª GRE,BOA VENTURA,ECI,,,,,,,,,,50,54,49,,,X,153
25027930,Ecite Maestro Jose Siqueira,07ª GRE,Conceição,ECIT,,,,,,,,,,142,73,99,,,X,314
25028065,EEEF JOSÉ HEITOR SOUZA MANGUEIRA,07ª GRE,CONCEIÇÃO,ECI,,,,,,,,,,97,139,75,,,X,311
25028103,ESCOLA CIDADÃ INTEGRAL ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO ENÉAS LEITE,07ª GRE,SANTA INÊS,ECI,,,,,,,,,,28,37,31,,,X,96
25029576,ECIEEM CORONEL ZUZA LACERDA,07ª GRE,CURRAL VELHO,ECI,,,,,,,,,,23,18,19,,,X,60
25029789,Ecit Professora Adilina de Souza Diniz,07ª GRE,Diamante,ECIT,,,,,,,,,,75,54,59,,,X,188
25030116,ECIEEM PADRE MANOEL OTAVIANO,07ª GRE,IBIARA,ECI,,,,,,,,,,76,66,42,,,X,184
25031155,ECI FRANCELINO DE ALENCAR NEVES,07ª GRE,ITAPORANGA,ECI,,,,,,27,33,52,60,,,,,X,,172
25031481,ECI EEM JOÃO DE SOUSA PRIMO,07ª GRE,PEDRA BRANCA,ECI,,,,,,,,,,30,56,31,,,X,117
25031783,ECIT EEFM PRESIDENTE KENNEDY,07ª GRE,SANTANA DE MANGUEIRA,ECI,,,,,,,,,,29,40,27,,,X,96
25032518,EEEFM OTAVIANO L DA SILVA,07ª GRE,SÃO JOSÉ DE CAIANA,ECI,,,,,,,,,,58,59,40,,,X,157
25032968,EEEFM PROF JOSEFA JUSTINO GOMES,07ª GRE,SERRA GRANDE,ECI,,,,,,,,,,39,55,34,,,X,128
25033204,ECI EEM JOSE NOMINANDO,11ª GRE,ÁGUA BRANCA,ECI,,,,,,,,,,131,110,80,,,X,321
25033786,Eci Gertrudes Leite,06ª GRE,Desterro,ECIT,,,,,,,,,,167,137,94,,,X,398
25033794,ECIT ESTADUAL PEDRO TERTO DA CUNHA,06ª GRE,CACIMBAS,ECI,,,,,,,,,,77,93,79,,,X,249
25034200,Ecit Maria do Socorro Ramalho Quirino,11ª GRE,Imaculada,ECIT,,,,,,,,,,78,83,72,,,X,233
25034839,ECIT Arlinda Pessoa da Silva,11ª GRE,Juru,ECIT,,,,,,,,,,62,71,48,,,X,181
